Date,Open,High,Low,Close*,Adj Close**,Volume
Apr 08 2003,1265.57,1265.57,1265.57,1265.57,1265.57,-
Apr 07 2003,1267.49,1267.49,1267.49,1267.49,1267.49,-
Apr 04 2003,1265.90,1265.90,1265.90,1265.90,1265.90,-
Apr 03 2003,1262.43,1262.43,1262.43,1262.43,1262.43,-
Apr 02 2003,1268.82,1268.82,1268.82,1268.82,1268.82,-
Apr 01 2003,1236.30,1236.30,1236.30,1236.30,1236.30,-
Mar 31 2003,1221.46,1221.46,1221.46,1221.46,1221.46,-
Mar 28 2003,1243.51,1243.51,1243.51,1243.51,1243.51,-
Mar 27 2003,1250.71,1250.71,1250.71,1250.71,1250.71,-
Mar 26 2003,1252.59,1252.59,1252.59,1252.59,1252.59,-
Mar 25 2003,1259.44,1259.44,1259.44,1259.44,1259.44,-
Mar 24 2003,1244.31,1244.31,1244.31,1244.31,1244.31,-
Mar 21 2003,1289.74,1289.74,1289.74,1289.74,1289.74,-
Mar 20 2003,1260.77,1260.77,1260.77,1260.77,1260.77,-
Mar 19 2003,1258.37,1258.37,1258.37,1258.37,1258.37,-
Mar 18 2003,1247.40,1247.40,1247.40,1247.40,1247.40,-
Mar 17 2003,1242.09,1242.09,1242.09,1242.09,1242.09,-
Mar 14 2003,1199.55,1199.55,1199.55,1199.55,1199.55,-
Mar 13 2003,1197.56,1197.56,1197.56,1197.56,1197.56,-
Mar 12 2003,1157.61,1157.61,1157.61,1157.61,1157.61,-
Mar 11 2003,1152.15,1152.15,1152.15,1152.15,1152.15,-
Mar 10 2003,1161.85,1161.85,1161.85,1161.85,1161.85,-
Mar 07 2003,1192.62,1192.62,1192.62,1192.62,1192.62,-
Mar 06 2003,1182.82,1182.82,1182.82,1182.82,1182.82,-
Mar 05 2003,1193.87,1193.87,1193.87,1193.87,1193.87,-
Mar 04 2003,1182.17,1182.17,1182.17,1182.17,1182.17,-
Mar 03 2003,1200.60,1200.60,1200.60,1200.60,1200.60,-
Feb 28 2003,1209.71,1209.71,1209.71,1209.71,1209.71,-
